City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
107,aswan,0.0,EG,1621177272.0,7.0,24.0934,32.907,104.36,17.38
108,acari,28.0,PE,1621177277.0,49.0,-15.4311,-74.6158,77.31,5.68
109,bubaque,77.0,GW,1621177283.0,80.0,11.2833,-15.8333,77.94,8.37
110,maniitsoq,60.0,GL,1621177288.0,85.0,65.4167,-52.9,34.83,9.31
111,ancud,90.0,CL,1621177293.0,100.0,-41.8697,-73.8203,47.59,4.61
112,altay,65.0,CN,1621177304.0,43.0,47.8667,88.1167,59.79,4.85
113,sao filipe,56.0,CV,1621177309.0,62.0,14.8961,-24.4956,76.24,7.7
114,bud,75.0,US,1621177319.0,72.0,39.446999999999996,-86.1758,62.33,3.44
115,torbay,90.0,CA,1621177324.0,81.0,47.6666,-52.7314,43.09,21.85
116,barrow,90.0,US,1621177330.0,80.0,71.2906,-156.7887,24.8,12.66
117,kalmunai,84.0,LK,1621177335.0,73.0,7.4167,81.8167,84.13,3.98
118,cape town,75.0,ZA,1621177340.0,63.0,-33.9258,18.4232,61.39,9.22
119,den helder,75.0,NL,1621177346.0,82.0,52.9599,4.7593,55.15,10.36
120,brae,75.0,GB,1621177351.0,81.0,60.3964,-1.3530000000000002,50.0,10.36
121,homer,40.0,US,1621177361.0,93.0,59.6425,-151.5483,37.49,5.91
122,leningradskiy,100.0,RU,1621177366.0,94.0,69.3833,178.4167,27.91,7.65
123,mahebourg,17.0,MU,1621177372.0,70.0,-20.4081,57.7,78.01,5.99
124,urusha,72.0,RU,1621177377.0,66.0,54.05,122.9,42.28,6.15
125,tual,98.0,ID,1621177382.0,78.0,-5.6667,132.75,83.07,22.03
126,itarema,86.0,BR,1621177387.0,68.0,-2.9248,-39.9167,83.1,8.72
127,tasiilaq,21.0,GL,1621177393.0,64.0,65.6145,-37.6368,35.6,6.91
128,norman wells,75.0,CA,1621177398.0,65.0,65.282,-126.8329,41.0,16.11
129,tuatapere,96.0,NZ,1621177403.0,81.0,-46.1333,167.6833,42.01,5.99
130,marathon,20.0,US,1621177413.0,63.0,44.9,-89.7668,59.38,6.91
131,pevek,69.0,RU,1621177419.0,97.0,69.7008,170.3133,14.22,4.5
132,severo-kurilsk,100.0,RU,1621177424.0,92.0,50.6789,156.125,35.91,24.25
133,kodiak,90.0,US,1621177429.0,93.0,57.79,-152.4072,37.4,3.44
134,hasaki,75.0,JP,1621177435.0,100.0,35.7333,140.8333,69.93,9.22
135,sarangani,95.0,PH,1621177440.0,78.0,5.4033,125.4636,83.84,15.35
136,cap malheureux,12.0,MU,1621177445.0,70.0,-19.9842,57.6142,78.01,7.0
137,victoria,100.0,HK,1621177275.0,81.0,22.2855,114.1577,82.9,1.99
